,,,,Marketwise Price & Arrival Report (03-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 03 Jan, 2026","Price on 02 Jan, 2026","Price on 01 Jan, 2026","Arrival on 03 Jan, 2026","Arrival on 02 Jan, 2026","Arrival on 01 Jan, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2033.45,2135.10,2067.59,63.50,136.65,41.00
Cereals,Barley(Jau),1980.00,2395.00,2061.63,2342.89,10.40,57.10,2.98
Cereals,Jowar(Sorghum),3699.00,2300.00,2273.33,2388.69,1.00,2.10,1.30
Cereals,Maize,2400.00,2021.13,1703.07,1689.13,40.70,460.70,247.10
Cereals,Wheat,2425.00,2755.63,2706.93,2668.31,602.90,484.00,367.20
Fibre Crops,Cotton,7710.00,7556.30,7550.03,7426.81,57.70,93.10,139.70
Oil Seeds,Groundnut,7263.00,5010.85,6125.97,6258.49,69.34,472.70,1942.28
Oil Seeds,Mustard,5950.00,6526.12,6454.43,6426.59,298.56,247.20,128.98
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,8650.00,8601.00,7756.00,0.50,0.10,0.10
Oil Seeds,Soyabean,5328.00,4327.58,4201.32,4394.02,1027.40,1545.00,169.68
Pulses,Bengal Gram(Gram)(Whole),5650.00,5321.76,5282.73,5035.14,17.00,137.30,7.10
Pulses,Black Gram(Urd Beans)(Whole),7800.00,5818.12,5550.86,6450.00,218.50,44.00,60.00
Pulses,Green Gram(Moong)(Whole),8768.00,6201.06,6258.23,6047.88,84.60,198.70,239.30
Pulses,Lentil(Masur)(Whole),6700.00,6000.00,-,-,0.32,-,-
Vegetables,Onion,-,1085.58,1411.09,1672.71,59.45,381.90,348.35
Vegetables,Potato,-,900.54,595.08,587.93,55.30,489.10,691.60
Vegetables,Tomato,-,2862.84,2650.91,3204.01,7.90,65.70,84.80

